Driver,Constructor,RaceName,DriverPointsSoFar,ConstructorPointsSoFar
ZHO,Kick Sauber,Azerbaijan Grand Prix,0.0,0.0
ZHO,Kick Sauber,Abu Dhabi Grand Prix,0.0,0.0
ZHO,Kick Sauber,Japanese Grand Prix,0.0,0.0
ZHO,Kick Sauber,British Grand Prix,0.0,0.0
ZHO,Kick Sauber,Spanish Grand Prix,0.0,0.0
ZHO,Kick Sauber,Belgian Grand Prix,0.0,0.0
ZHO,Kick Sauber,Dutch Grand Prix,0.0,0.0
ZHO,Kick Sauber,Bahrain Grand Prix,0.0,0.0
ZHO,Kick Sauber,Hungarian Grand Prix,0.0,0.0
ZHO,Kick Sauber,Mexico City Grand Prix,0.0,0.0
ZHO,Kick Sauber,Saudi Arabian Grand Prix,0.0,0.0
ZHO,Kick Sauber,Las Vegas Grand Prix,0.0,0.0
ZHO,Kick Sauber,Australian Grand Prix,0.0,0.0
HUL,Haas F1 Team,Emilia Romagna Grand Prix,3.0,4.0
HUL,Haas F1 Team,Canadian Grand Prix,3.0,4.0
HUL,Haas F1 Team,Monaco Grand Prix,3.0,4.0
HUL,Haas F1 Team,Azerbaijan Grand Prix,11.0,13.0
HUL,Haas F1 Team,Dutch Grand Prix,11.0,12.0
HUL,Haas F1 Team,Belgian Grand Prix,11.0,12.0
HUL,Haas F1 Team,British Grand Prix,3.0,4.0
HUL,Haas F1 Team,Italian Grand Prix,11.0,12.0
HUL,Haas F1 Team,Spanish Grand Prix,3.0,4.0
HUL,Haas F1 Team,Bahrain Grand Prix,0.0,0.0
HUL,Haas F1 Team,Hungarian Grand Prix,11.0,12.0
HUL,Haas F1 Team,Saudi Arabian Grand Prix,0.0,0.0
HUL,Haas F1 Team,Singapore Grand Prix,11.0,14.0
HUL,Haas F1 Team,Australian Grand Prix,1.0,1.0
HUL,Haas F1 Team,Las Vegas Grand Prix,15.0,24.0
HUL,Haas F1 Team,Japanese Grand Prix,3.0,4.0
HUL,Haas F1 Team,Mexico City Grand Prix,13.0,16.0
HUL,Haas F1 Team,Abu Dhabi Grand Prix,19.0,28.0
LAW,RB,Las Vegas Grand Prix,0.0,20.0
LAW,RB,Abu Dhabi Grand Prix,0.0,22.0
OCO,Alpine,Azerbaijan Grand Prix,4.0,11.0
OCO,Alpine,Dutch Grand Prix,4.0,9.0
OCO,Alpine,Canadian Grand Prix,0.0,1.0
OCO,Alpine,Italian Grand Prix,4.0,11.0
OCO,Alpine,Monaco Grand Prix,0.0,0.0
OCO,Alpine,Emilia Romagna Grand Prix,0.0,0.0
OCO,Alpine,British Grand Prix,2.0,7.0
OCO,Alpine,Hungarian Grand Prix,2.0,7.0
OCO,Alpine,Bahrain Grand Prix,0.0,0.0
OCO,Alpine,Abu Dhabi Grand Prix,4.0,12.0
OCO,Alpine,Mexico City Grand Prix,4.0,11.0
OCO,Alpine,Australian Grand Prix,0.0,0.0
OCO,Alpine,Saudi Arabian Grand Prix,0.0,0.0
OCO,Alpine,Las Vegas Grand Prix,4.0,12.0
OCO,Alpine,Belgian Grand Prix,2.0,7.0
OCO,Alpine,Spanish Grand Prix,1.0,4.0
OCO,Alpine,Singapore Grand Prix,4.0,11.0
OCO,Alpine,Japanese Grand Prix,0.0,0.0
BEA,Ferrari,Emilia Romagna Grand Prix,6.0,120.0
BEA,Ferrari,Singapore Grand Prix,6.0,337.0
BEA,Ferrari,Japanese Grand Prix,6.0,93.0
BEA,Ferrari,Mexico City Grand Prix,6.0,353.0
BEA,Ferrari,Australian Grand Prix,6.0,49.0
BEA,Ferrari,Las Vegas Grand Prix,6.0,394.0
BEA,Ferrari,Belgian Grand Prix,6.0,234.0
BEA,Ferrari,Azerbaijan Grand Prix,6.0,319.0
BEA,Ferrari,Hungarian Grand Prix,6.0,214.0
BEA,Ferrari,British Grand Prix,6.0,203.0
BEA,Ferrari,Canadian Grand Prix,6.0,185.0
BEA,Ferrari,Italian Grand Prix,6.0,282.0
BEA,Ferrari,Monaco Grand Prix,6.0,145.0
BEA,Ferrari,Dutch Grand Prix,6.0,257.0
BEA,Ferrari,Abu Dhabi Grand Prix,6.0,421.0
BEA,Ferrari,Spanish Grand Prix,6.0,185.0
COL,Williams,Las Vegas Grand Prix,4.0,16.0
COL,Williams,Mexico City Grand Prix,4.0,16.0
COL,Williams,Azerbaijan Grand Prix,0.0,6.0
COL,Williams,Abu Dhabi Grand Prix,4.0,16.0
COL,Williams,Singapore Grand Prix,4.0,16.0
HAM,Mercedes,Azerbaijan Grand Prix,132.0,217.0
HAM,Mercedes,Japanese Grand Prix,8.0,26.0
HAM,Mercedes,Mexico City Grand Prix,142.0,254.0
HAM,Mercedes,Emilia Romagna Grand Prix,10.0,34.0
HAM,Mercedes,Canadian Grand Prix,25.0,66.0
HAM,Mercedes,Singapore Grand Prix,134.0,234.0
HAM,Mercedes,Monaco Grand Prix,18.0,49.0
HAM,Mercedes,Italian Grand Prix,122.0,201.0
HAM,Mercedes,Dutch Grand Prix,118.0,191.0
HAM,Mercedes,Hungarian Grand Prix,78.0,146.0
HAM,Mercedes,Spanish Grand Prix,38.0,94.0
HAM,Mercedes,Belgian Grand Prix,93.0,166.0
HAM,Mercedes,British Grand Prix,53.0,121.0
HAM,Mercedes,Bahrain Grand Prix,0.0,0.0
HAM,Mercedes,Saudi Arabian Grand Prix,6.0,16.0
HAM,Mercedes,Las Vegas Grand Prix,154.0,276.0
HAM,Mercedes,Abu Dhabi Grand Prix,172.0,319.0
HAM,Mercedes,Australian Grand Prix,8.0,26.0
BEA,Haas F1 Team,Abu Dhabi Grand Prix,1.0,28.0
BEA,Haas F1 Team,Las Vegas Grand Prix,1.0,24.0
BEA,Haas F1 Team,Mexico City Grand Prix,1.0,16.0
BEA,Haas F1 Team,Singapore Grand Prix,1.0,14.0
SAI,Ferrari,Azerbaijan Grand Prix,137.0,319.0
SAI,Ferrari,Canadian Grand Prix,80.0,185.0
SAI,Ferrari,Hungarian Grand Prix,99.0,214.0
SAI,Ferrari,Mexico City Grand Prix,143.0,353.0
SAI,Ferrari,Monaco Grand Prix,65.0,145.0
SAI,Ferrari,Italian Grand Prix,125.0,282.0
SAI,Ferrari,Belgian Grand Prix,107.0,234.0
SAI,Ferrari,Dutch Grand Prix,115.0,257.0
SAI,Ferrari,British Grand Prix,88.0,203.0
SAI,Ferrari,Spanish Grand Prix,80.0,185.0
SAI,Ferrari,Emilia Romagna Grand Prix,55.0,120.0
SAI,Ferrari,Japanese Grand Prix,40.0,93.0
SAI,Ferrari,Australian Grand Prix,15.0,49.0
SAI,Ferrari,Abu Dhabi Grand Prix,183.0,421.0
SAI,Ferrari,Saudi Arabian Grand Prix,15.0,27.0
SAI,Ferrari,Bahrain Grand Prix,0.0,0.0
SAI,Ferrari,Singapore Grand Prix,137.0,337.0
SAI,Ferrari,Las Vegas Grand Prix,168.0,394.0
RUS,Mercedes,Belgian Grand Prix,73.0,166.0
RUS,Mercedes,Spanish Grand Prix,56.0,94.0
RUS,Mercedes,British Grand Prix,68.0,121.0
RUS,Mercedes,Bahrain Grand Prix,0.0,0.0
RUS,Mercedes,Hungarian Grand Prix,68.0,146.0
RUS,Mercedes,Las Vegas Grand Prix,122.0,276.0
RUS,Mercedes,Saudi Arabian Grand Prix,10.0,16.0
RUS,Mercedes,Australian Grand Prix,18.0,26.0
RUS,Mercedes,Japanese Grand Prix,18.0,26.0
RUS,Mercedes,Abu Dhabi Grand Prix,147.0,319.0
RUS,Mercedes,Italian Grand Prix,79.0,201.0
RUS,Mercedes,Dutch Grand Prix,73.0,191.0
RUS,Mercedes,Azerbaijan Grand Prix,85.0,217.0
RUS,Mercedes,Monaco Grand Prix,31.0,49.0
RUS,Mercedes,Singapore Grand Prix,100.0,234.0
RUS,Mercedes,Mexico City Grand Prix,112.0,254.0
RUS,Mercedes,Emilia Romagna Grand Prix,24.0,34.0
RUS,Mercedes,Canadian Grand Prix,41.0,66.0
BOT,Kick Sauber,Canadian Grand Prix,0.0,0.0
BOT,Kick Sauber,Dutch Grand Prix,0.0,0.0
BOT,Kick Sauber,Belgian Grand Prix,0.0,0.0
BOT,Kick Sauber,Hungarian Grand Prix,0.0,0.0
BOT,Kick Sauber,Abu Dhabi Grand Prix,0.0,0.0
BOT,Kick Sauber,Spanish Grand Prix,0.0,0.0
BOT,Kick Sauber,British Grand Prix,0.0,0.0
BOT,Kick Sauber,Monaco Grand Prix,0.0,0.0
BOT,Kick Sauber,Bahrain Grand Prix,0.0,0.0
BOT,Kick Sauber,Las Vegas Grand Prix,0.0,0.0
BOT,Kick Sauber,Saudi Arabian Grand Prix,0.0,0.0
BOT,Kick Sauber,Japanese Grand Prix,0.0,0.0
BOT,Kick Sauber,Singapore Grand Prix,0.0,0.0
BOT,Kick Sauber,Mexico City Grand Prix,0.0,0.0
BOT,Kick Sauber,Australian Grand Prix,0.0,0.0
BOT,Kick Sauber,Azerbaijan Grand Prix,0.0,0.0
BOT,Kick Sauber,Emilia Romagna Grand Prix,0.0,0.0
BOT,Kick Sauber,Italian Grand Prix,0.0,0.0
PIA,McLaren,Hungarian Grand Prix,90.0,209.0
PIA,McLaren,British Grand Prix,78.0,182.0
PIA,McLaren,Bahrain Grand Prix,0.0,0.0
PIA,McLaren,Abu Dhabi Grand Prix,213.0,467.0
PIA,McLaren,Belgian Grand Prix,115.0,252.0
PIA,McLaren,Emilia Romagna Grand Prix,32.0,69.0
PIA,McLaren,Singapore Grand Prix,188.0,390.0
PIA,McLaren,Monaco Grand Prix,44.0,99.0
PIA,McLaren,Azerbaijan Grand Prix,163.0,352.0
PIA,McLaren,Canadian Grand Prix,62.0,129.0
PIA,McLaren,Dutch Grand Prix,133.0,280.0
PIA,McLaren,Spanish Grand Prix,72.0,157.0
PIA,McLaren,Italian Grand Prix,145.0,318.0
PIA,McLaren,Las Vegas Grand Prix,207.0,452.0
PIA,McLaren,Mexico City Grand Prix,203.0,430.0
PIA,McLaren,Japanese Grand Prix,28.0,55.0
PIA,McLaren,Australian Grand Prix,16.0,28.0
PIA,McLaren,Saudi Arabian Grand Prix,4.0,12.0
